id,Neighborhood,YearBuilt,Price
6338,Rural,1966,189801.4017
6339,Suburb,1962,179437.042
6340,Rural,1976,327725.4736
6341,Urban,1955,200868.7644
6342,Urban,1984,138278.0836
6343,Rural,1967,324465.5964
6344,Suburb,1983,183733.0503
6345,Rural,1985,159803.351
6346,Urban,1971,128200.111
6347,Rural,2017,235489.341
6348,Suburb,2012,179966.5742
6349,Suburb,1990,172843.2527
6350,Rural,2005,277796.9778
6351,Rural,1981,285203.1928
6352,Suburb,1965,210962.3842
6353,Rural,2014,224942.313
6354,Urban,1965,216931.1313
6355,Urban,1994,201288.3804
6356,Rural,1997,-13803.68406
6357,Urban,1992,111628.683
6358,Urban,1969,201336.0676
6359,Urban,1981,225146.3607
6360,Rural,2020,234939.5574
6361,Urban,2019,259968.4336
6362,Urban,1968,288153.4878
6363,Suburb,1957,220725.0152
6364,Urban,1998,264284.4426
6365,Urban,1968,159646.6051
6366,Rural,1958,213192.9948
6367,Urban,1983,204537.1209
6368,Rural,1983,124293.6895
6369,Suburb,2015,309897.7219
6370,Urban,1966,301429.7808
6371,Suburb,1959,134713.6113
6372,Suburb,2017,176484.6218
6373,Urban,2013,268347.7956
6374,Suburb,1972,216812.1596
6375,Urban,1957,285699.7571
6376,Suburb,1995,312072.8704
6377,Rural,1988,266035.8264
6378,Rural,1967,215851.118
6379,Rural,2017,356229.4326
6380,Rural,1966,85669.77825
6381,Suburb,1987,161524.463
6382,Suburb,2019,269559.5732
6383,Suburb,1957,339530.8906
6384,Suburb,2005,134253.8567
6385,Suburb,2009,322841.6762
6386,Urban,2000,144617.6566
6387,Rural,1961,238881.9611
6388,Rural,1964,161790.2193
6389,Urban,1953,240061.8105
6390,Rural,1993,317740.1682
6391,Rural,1966,320423.3422
6392,Rural,1976,209800.9003
6393,Urban,1996,234113.5417
6394,Suburb,1984,159513.286
6395,Suburb,1978,141324.7757
6396,Suburb,1962,240429.007
6397,Suburb,1973,301561.6842
6398,Rural,1967,284078.7465
6399,Urban,2011,215847.1251
6400,Suburb,1963,286093.0412
6401,Urban,1964,196716.9586
6402,Rural,2013,218583.9793
6403,Suburb,1974,221029.0736
6404,Rural,1958,107896.2463
6405,Rural,1978,223130.4822
6406,Suburb,1962,265738.2952
6407,Urban,1965,329234.1077
6408,Suburb,1976,120061.4584
6409,Rural,1955,315154.0893
6410,Urban,1959,304391.7791
6411,Urban,1984,116749.6612
6412,Suburb,1975,271058.969
6413,Suburb,1973,213880.5442
6414,Suburb,2004,143249.9586
6415,Urban,2000,145430.3472
6416,Urban,2010,302093.8856
6417,Suburb,1959,160388.5097
6418,Rural,1997,85994.74469
6419,Urban,1972,255003.5581
6420,Rural,1992,237333.2771
6421,Suburb,1988,210501.7166
6422,Suburb,1958,348052.7614
6423,Rural,1975,260882.5754
6424,Suburb,1971,142084.439
6425,Rural,1953,238747.7042
6426,Rural,1993,161428.2997
6427,Urban,1996,91649.0299
6428,Rural,1966,166822.8246
6429,Suburb,1968,322717.6492
6430,Suburb,1984,257735.2242
6431,Suburb,1974,213886.7058
6432,Suburb,2018,188531.716
6433,Suburb,2011,115534.843
6434,Urban,2016,161573.527
6435,Urban,1994,260953.5883
6436,Urban,1966,178083.8531
6437,Rural,1993,55943.19877
6438,Urban,2013,114381.5956
6439,Rural,2014,65452.4489
6440,Rural,2021,266677.6415
6441,Urban,1965,225944.0544
6442,Suburb,1971,150962.6271
6443,Urban,1977,395624.1432
6444,Rural,2018,219741.8877
6445,Rural,1981,123643.4434
6446,Rural,2006,204033.2436
6447,Urban,1961,274033.7265
6448,Urban,1976,156671.3288
6449,Rural,1997,213460.4931
6450,Urban,1968,51943.79562
6451,Urban,1995,327777.2018
6452,Rural,1994,175508.0694
6453,Urban,1993,360463.253
6454,Urban,1953,51936.62022
6455,Suburb,1951,77791.08952
6456,Suburb,1967,255724.2358
6457,Urban,1975,169572.7191
6458,Urban,2017,193250.9267
6459,Urban,2000,294923.3236
6460,Rural,1952,309491.2173
6461,Urban,1956,352614.0731
6462,Urban,1998,131713.1123
6463,Suburb,1992,191037.5426
6464,Urban,1953,311079.9887
6465,Suburb,1967,153778.4031
6466,Urban,1972,248585.2123
6467,Rural,1978,357769.4695
6468,Urban,2015,280248.0434
6469,Urban,1986,220706.6519
6470,Suburb,1970,200096.9717
6471,Suburb,2016,238667.807
6472,Suburb,1996,260991.6378
6473,Urban,1968,235520.1825
6474,Rural,2000,225182.8984
6475,Suburb,1962,178699.5335
6476,Urban,1966,256260.4976
6477,Urban,2008,239863.422
6478,Urban,1960,268696.1271
6479,Suburb,1954,164929.994
6480,Urban,1974,235116.3043
6481,Urban,1997,135566.2847
6482,Suburb,1959,209916.6404
6483,Urban,1959,280351.4633
6484,Urban,1963,382776.0094
6485,Rural,1977,217829.2768
6486,Urban,1983,309101.9449
6487,Rural,2000,62076.81866
6488,Suburb,1999,149857.4139
6489,Suburb,1982,336345.9276
6490,Rural,1977,214213.5215
6491,Rural,1978,313076.0049
6492,Rural,2008,253163.3932
6493,Urban,1990,165109.7784
6494,Urban,1954,234206.9069
6495,Rural,2010,321211.5754
6496,Rural,1991,308746.9343
6497,Rural,1962,308630.0424
6498,Suburb,1979,308774.7433
6499,Urban,1975,200055.7124
6500,Urban,1954,267710.4626
6501,Suburb,2019,277058.1227
6502,Urban,1986,86787.54126
6503,Rural,1999,264861.4834
6504,Urban,1991,191219.7183
6505,Rural,1994,175774.1599
6506,Suburb,2010,199679.4995
6507,Suburb,1967,353292.4937
6508,Urban,1950,253690.184
6509,Rural,1996,120305.2597
6510,Rural,1997,330800.1986
6511,Urban,2009,192676.5018
6512,Suburb,1959,410660.1409
6513,Rural,2015,115401.1745
6514,Urban,2002,244821.8906
6515,Rural,2014,174249.0587
6516,Rural,2014,231721.4276
6517,Rural,1979,187360.194
6518,Urban,1956,343788.3159
6519,Suburb,2004,249253.5659
6520,Suburb,2012,198515.546
6521,Suburb,2012,202184.6792
6522,Urban,2015,250672.4108
6523,Urban,1953,328374.9831
6524,Suburb,2011,351950.6785
6525,Urban,1988,360682.5816
6526,Suburb,2012,294775.0851
6527,Suburb,1978,239518.3896
6528,Urban,1986,194460.397
6529,Rural,1967,321102.9798
6530,Rural,1960,347539.8966
6531,Urban,1981,142291.4422
6532,Urban,1987,211682.0991
6533,Suburb,1994,223625.9219
6534,Rural,1954,245402.4343
6535,Rural,2016,203430.7682
6536,Suburb,1989,113278.8127
6537,Suburb,1972,259379.2605
6538,Rural,1982,230539.1841
6539,Suburb,1971,64458.31403
6540,Rural,1995,287286.0643
6541,Urban,1958,304987.591
6542,Urban,1954,228793.1245
6543,Rural,2010,345842.6213
6544,Rural,1993,172533.1898
6545,Suburb,2012,186845.7148
6546,Urban,1953,151220.3567
6547,Rural,1975,94553.05406
6548,Suburb,1998,177526.8158
6549,Rural,1957,281089.5376
6550,Urban,1977,191312.6451
6551,Rural,1977,110341.5571
6552,Rural,2002,313822.9205
6553,Rural,2011,249369.9606
6554,Rural,2003,220630.7607
6555,Rural,1975,229782.5029
6556,Urban,1994,182034.8486
6557,Suburb,1956,182696.9242
6558,Urban,1959,186881.363
6559,Suburb,1957,174198.9257
6560,Suburb,1965,258233.9986
6561,Urban,1956,256225.5811
6562,Rural,1964,182203.4999
6563,Suburb,1989,115790.8359
6564,Rural,2008,112315.2658
6565,Urban,2015,304269.1581
6566,Suburb,2011,145880.0615
6567,Suburb,1997,148868.7399
6568,Urban,1990,149618.2193
6569,Urban,1968,210811.1467
6570,Rural,1952,374249.5593
6571,Urban,1994,288371.9589
6572,Rural,1967,222475.8914
6573,Suburb,1998,301212.4016
6574,Rural,2018,336142.4301
6575,Suburb,2019,257191.1559
6576,Suburb,2014,72174.66867
6577,Suburb,1991,349308.4585
6578,Urban,1955,315720.9206
6579,Rural,2001,260852.9743
6580,Rural,1959,264158.9153
6581,Rural,1981,188852.1227
6582,Rural,1974,228309.7382
6583,Suburb,1976,298781.1926
6584,Suburb,1972,385200.4389
6585,Rural,1966,272259.9101
6586,Urban,2006,200724.2046
6587,Urban,1984,312996.3751
6588,Urban,1975,177977.2299
6589,Rural,1958,168742.697
6590,Suburb,1953,151616.51
6591,Urban,1966,189450.3403
6592,Urban,1957,359471.9415
6593,Urban,1984,213886.1042
6594,Rural,1962,172441.5617
6595,Suburb,1953,293463.322
6596,Suburb,2006,309376.6233
6597,Rural,1973,71326.41819
6598,Suburb,1988,126764.1899
6599,Suburb,1991,63251.56924
6600,Urban,2019,283748.9024
6601,Suburb,2007,186243.3701
6602,Rural,1961,287660.0823
6603,Suburb,1978,303766.0325
6604,Urban,1981,137971.3628
6605,Urban,1998,139397.5047
6606,Rural,1958,197680.1172
6607,Suburb,1952,238448.4428
6608,Suburb,2011,185491.1196
6609,Urban,1959,145641.1178
6610,Suburb,1993,366707.7077
6611,Urban,1965,359110.5663
6612,Rural,2000,318355.606
6613,Suburb,2000,175974.9861
6614,Urban,1964,152091.3184
6615,Rural,1959,250311.2722
6616,Suburb,1987,193702.2677
6617,Urban,1997,250281.5309
6618,Urban,1972,217090.6066
6619,Suburb,1986,232544.2325
6620,Rural,1982,127663.157
6621,Suburb,1984,120129.3726
6622,Urban,1967,362558.1608
6623,Urban,1958,363056.0573
6624,Rural,1963,341726.9962
6625,Rural,1990,350448.1938
6626,Rural,2011,382541.3752
6627,Rural,2012,86068.78519
6628,Rural,2018,22130.48727
6629,Urban,2010,177437.0213
6630,Urban,1955,242747.7113
6631,Rural,1978,294600.4559
6632,Urban,2008,269947.3929
6633,Suburb,1983,228270.2484
6634,Rural,1988,153744.7325
6635,Suburb,1995,273606.6152
6636,Rural,2007,286678.1081
6637,Urban,2014,360976.9442
6638,Rural,1975,293908.405
6639,Urban,1969,154266.7567
6640,Urban,2021,125993.7953
6641,Urban,2010,250752.0956
6642,Urban,2001,360404.3837
6643,Rural,1998,159902.052
6644,Suburb,1977,271251.1685
6645,Rural,2004,295225.7957
6646,Urban,1993,244990.1892
6647,Rural,1994,193722.8374
6648,Suburb,2016,158587.0149
6649,Rural,2008,199919.2953
6650,Urban,2011,305948.2626
6651,Urban,1989,182917.4528
6652,Urban,1982,150791.1043
6653,Rural,2017,340410.2544
6654,Rural,2007,238142.8949
6655,Suburb,1994,300504.7568
6656,Suburb,2021,199085.8925
6657,Suburb,1977,190205.6099
6658,Urban,1986,321815.2772
6659,Rural,1972,333807.7925
6660,Rural,2017,87173.06959
6661,Urban,2021,323189.8637
6662,Urban,1968,135155.6027
6663,Suburb,1982,310344.5746
6664,Urban,2008,259388.9062
6665,Urban,2019,230906.5203
6666,Urban,2020,254536.6748
6667,Suburb,1966,355288.3854
6668,Urban,1972,343617.6083
6669,Suburb,2016,128286.1103
6670,Rural,1994,224392.6391
6671,Urban,1986,198670.9324
6672,Urban,1981,251465.9941
6673,Suburb,2016,166058.8198
6674,Rural,1955,126388.3702
6675,Rural,2007,242187.9725
6676,Urban,2013,145843.7863
6677,Rural,1968,248477.7365
6678,Suburb,2010,149488.4699
6679,Suburb,2001,198804.3756
6680,Suburb,2002,188172.2351
6681,Suburb,1983,226030.7204
6682,Suburb,1973,306712.6413
6683,Rural,1954,250808.6694
6684,Rural,2012,134717.2564
6685,Urban,1974,231604.5292
6686,Urban,2011,245017.6464
6687,Rural,2021,298124.6831
6688,Rural,2012,273121.6699
6689,Urban,1969,129252.0204
6690,Urban,1997,250274.3097
6691,Suburb,1959,224787
6692,Rural,2005,267648.5147
6693,Rural,2011,224196.7666
6694,Rural,1977,213339.7668
6695,Rural,1978,182694.7376
6696,Suburb,1975,194521.664
6697,Rural,1966,143747.5039
6698,Suburb,1995,281897.8076
6699,Rural,1995,323635.2747
6700,Urban,2021,110209.1806
6701,Rural,1991,133326.7903
6702,Urban,1996,148689.9472
6703,Urban,1971,215888.5673
6704,Rural,1997,133780.4527
6705,Suburb,1981,139077.9778
6706,Rural,2003,293767.6093
6707,Rural,2008,303176.4539
6708,Rural,1966,193466.8649
6709,Rural,2018,190118.2818
6710,Rural,1987,201553.1516
6711,Urban,1955,243727.7734
6712,Rural,1958,352089.6861
6713,Rural,2015,260343.2456
6714,Rural,1969,313812.5568
6715,Suburb,1952,269599.5522
6716,Urban,2010,259780.2536
6717,Suburb,1975,236930.3268
6718,Suburb,2010,342146.8067
6719,Urban,1950,206963.4363
6720,Rural,1979,210520.7174
6721,Urban,1968,194929.055
6722,Urban,2007,272703.329
6723,Rural,2009,302199.6797
6724,Urban,1972,198516.6192
6725,Rural,2002,208821.4855
6726,Rural,1968,333738.5408
6727,Rural,1988,265292.8529
6728,Urban,1977,211865.1955
6729,Rural,1952,193430.6595
6730,Suburb,1968,295664.4716
6731,Urban,1973,254698.6265
6732,Suburb,2005,355540.2648
6733,Suburb,1957,220510.1377
6734,Suburb,2000,272552.4399
6735,Urban,2009,89044.74632
6736,Rural,2010,329800.0993
6737,Suburb,2020,134834.9497
6738,Suburb,1976,121620.3634
6739,Rural,1986,284365.6357
6740,Rural,2000,287768.9366
6741,Suburb,1984,231067.7758
6742,Suburb,1994,285328.4917
6743,Urban,1952,248275.7668
6744,Rural,2015,163433.061
6745,Rural,1952,293242.5565
6746,Urban,1986,137170.804
6747,Urban,1960,189107.1554
6748,Urban,1950,328622.283
6749,Suburb,1968,417149.9443
6750,Urban,2001,294770.3968
6751,Urban,1977,175270.1517
6752,Suburb,1986,308420.4624
6753,Suburb,1968,279109.791
6754,Rural,2009,286478.955
6755,Suburb,1950,330607.7402
6756,Rural,1961,232060.2621
6757,Urban,1992,207358.6534
6758,Rural,2004,362942.6372
6759,Suburb,1992,142093.1326
6760,Rural,2020,266087.0582
6761,Rural,1979,142654.3355
6762,Rural,1957,334359.2107
6763,Suburb,1961,65590.32371
6764,Rural,2013,218049.946
6765,Urban,1981,166541.7993
6766,Urban,1966,336276.9102
6767,Urban,1989,128405.7855
6768,Urban,1993,281058.2301
6769,Rural,1953,293305.9878
6770,Urban,2006,163842.0141
6771,Rural,1987,214117.3022
6772,Suburb,2015,242721.9145
6773,Rural,1998,135132.3265
6774,Suburb,2007,178107.3404
6775,Suburb,1958,204296.7442
6776,Urban,1973,336864.7643
6777,Urban,1956,127681.8181
6778,Suburb,2005,328219.791
6779,Urban,2005,305405.6997
6780,Rural,1969,186833.9264
6781,Urban,1985,263731.9717
6782,Rural,1994,251459.158
6783,Urban,1989,44103.44086
6784,Rural,1993,123279.0126
6785,Suburb,1972,300868.3991
6786,Urban,2018,263274.6033
6787,Rural,1958,162950.2156
6788,Rural,1991,338338.9533
6789,Rural,1983,196596.3129
6790,Suburb,2008,176616.2199
6791,Suburb,2014,189254.2698
6792,Rural,2016,242295.0342
6793,Urban,1958,178395.3933
6794,Urban,1977,217385.4051
6795,Suburb,1960,130472.534
6796,Rural,1965,192092.2447
6797,Rural,1972,251556.1198
6798,Urban,1984,135252.5873
6799,Suburb,1973,254697.2681
6800,Rural,1984,156226.4028
6801,Suburb,1970,300600.5826
6802,Suburb,1976,324909.5988
6803,Rural,1994,367216.8921
6804,Rural,1950,251873.8127
6805,Suburb,1976,404402.465
6806,Suburb,1994,230683.1499
6807,Rural,1986,306498.1308
6808,Urban,1975,366482.2637
6809,Suburb,1999,250269.381
6810,Urban,1987,238125.5325
6811,Suburb,1960,240400.8931
6812,Suburb,2018,215756.666
6813,Suburb,1954,264218.4846
6814,Rural,1963,56246.10252
6815,Rural,1982,233443.4613
6816,Rural,2001,194532.3947
6817,Urban,1973,241020.3022
6818,Urban,1954,172211.7162
6819,Urban,1991,143915.0099
6820,Rural,1995,164923.2553
6821,Suburb,1980,193372.2699
6822,Suburb,2000,197482.1958
6823,Urban,1984,191216.0494
6824,Rural,1966,183876.7562
6825,Rural,2010,276604.8604
6826,Suburb,1985,247140.7327
6827,Rural,1988,249245.6826
6828,Urban,2020,230321.4698
6829,Rural,1963,138802.2367
6830,Urban,2005,296079.7666
6831,Urban,1980,217635.7791
6832,Urban,2000,145817.3694
6833,Urban,2012,120226.3522
6834,Suburb,1975,267929.2062
6835,Rural,1963,359208.6033
6836,Rural,1990,149788.936
6837,Suburb,1962,274139.1438
6838,Suburb,1957,257064.3096
6839,Rural,1980,245468.815
6840,Suburb,2014,252190.152
6841,Rural,1984,110355.5407
6842,Suburb,1993,113459.4075
6843,Suburb,2006,320969.1872
6844,Rural,1980,240967.0114
6845,Urban,1978,182006.7257
6846,Suburb,2008,408713.0101
6847,Urban,1961,318753.9236
6848,Urban,1954,186156.8645
6849,Suburb,2020,128152.2104
6850,Urban,1975,241682.4041
6851,Rural,1965,285592.24
6852,Rural,2020,211202.2998
6853,Urban,1968,114368.0375
6854,Rural,1954,281352.4627
6855,Suburb,1971,202102.8637
6856,Urban,1974,133270.7051
6857,Suburb,1951,136488.8169
6858,Suburb,1997,302695.7934
6859,Rural,1963,201217.1089
6860,Urban,2015,262869.0992
6861,Rural,2001,168684.7241
6862,Rural,1967,133482.8339
6863,Urban,1960,380253.6729
6864,Suburb,1989,303013.4127
6865,Urban,1964,233040.6795
6866,Suburb,1986,283756.506
6867,Urban,2004,120415.7854
6868,Rural,2006,346974.0119
6869,Urban,1967,90880.73931
6870,Rural,1967,179824.1439
6871,Suburb,1978,127640.6277
6872,Rural,1991,271766.8232
6873,Urban,1952,193148.6817
6874,Urban,1971,193805.9107
6875,Urban,2008,145983.7914
6876,Rural,1997,299235.153
6877,Rural,1994,219681.5128
6878,Suburb,1988,31616.78864
6879,Urban,2017,87806.56055
6880,Suburb,1980,245940.4807
6881,Urban,1963,146562.6302
6882,Rural,2020,253999.0577
6883,Rural,1959,173302.5132
6884,Suburb,1962,212320.4146
6885,Urban,2012,213293.1308
6886,Suburb,2017,166092.3033
6887,Urban,2017,292903.0908
6888,Rural,2011,314941.2266
6889,Suburb,1971,316509.209
6890,Rural,1995,323313.7658
6891,Urban,2018,307097.2318
6892,Rural,1952,175130.9312
6893,Rural,2002,243207.2298
6894,Suburb,2003,170811.8007
6895,Rural,1990,161076.864
6896,Urban,2012,297015.1809
6897,Urban,1974,211043.0948
6898,Rural,1958,379219.3874
6899,Suburb,1961,112369.7541
6900,Urban,1957,175744.741
6901,Suburb,2003,322050.3667
6902,Urban,1969,223180.2724
6903,Rural,2009,212009.3611
6904,Urban,2017,85380.74583
6905,Suburb,1999,254948.3112
6906,Rural,2007,108632.6722
6907,Suburb,1977,121576.9725
6908,Suburb,2003,272355.0837
6909,Urban,1950,188769.4015
6910,Suburb,2016,360140.294
6911,Rural,2017,168077.7323
6912,Rural,2001,272871.444
6913,Suburb,1962,61374.11406
6914,Rural,2006,101006.0777
6915,Rural,1997,253364.0555
6916,Rural,1968,141759.9432
6917,Urban,1983,245566.7966
6918,Rural,2012,307783.9893
6919,Rural,1973,282583.8311
6920,Rural,1990,335514.7176
6921,Rural,1990,197505.7508
6922,Suburb,2007,251336.9551
6923,Rural,1995,238896.5977
6924,Rural,1966,220423.6121
6925,Suburb,1957,222980.7276
6926,Suburb,1957,380675.1482
6927,Rural,1983,190712.421
6928,Rural,2013,315216.2854
6929,Urban,1961,106466.2627
6930,Suburb,1994,281982.1808
6931,Urban,1985,138914.7266
6932,Suburb,1981,269295.5701
6933,Rural,2007,141326.4278
6934,Suburb,1979,244650.7528
6935,Rural,1970,106508.7936
6936,Urban,1977,119205.345
6937,Urban,1959,168266.1378
6938,Urban,1952,234264.5841
6939,Suburb,1970,391951.3207
6940,Suburb,1980,257327.1948
6941,Rural,2016,150845.5898
6942,Rural,2010,281873.6181
6943,Rural,1986,211172.1881
6944,Rural,1952,298439.2969
6945,Suburb,2012,190233.6668
6946,Rural,1952,250722.8996
6947,Urban,1954,220774.5631
6948,Rural,2019,349102.1437
6949,Urban,2021,180512.4776
6950,Urban,1988,273755.9725
6951,Suburb,1995,272074.2711
6952,Rural,1970,241797.1556
6953,Rural,1981,322654.7441
6954,Suburb,1952,306120.6528
6955,Rural,1961,209841.1621
6956,Suburb,1997,219628.2674
6957,Urban,1997,137615.0488
6958,Suburb,1973,198987.8201
6959,Rural,1998,191909.4763
6960,Suburb,1956,59218.10513
6961,Suburb,1979,259970.9777
6962,Urban,1998,197882.0264
6963,Suburb,1998,392850.6246
6964,Rural,1950,285023.6012
6965,Urban,1956,307528.6432
6966,Urban,1966,162309.9988
6967,Suburb,1991,300178.4797
6968,Rural,1980,222454.9399
6969,Suburb,1962,225603.3021
6970,Suburb,1960,239597.1947
6971,Suburb,1977,307886.823
6972,Suburb,1957,27651.66771
6973,Rural,1964,240959.4221
6974,Urban,2017,323939.6395
6975,Suburb,2003,259470.0284
6976,Urban,1956,297434.4225
6977,Rural,2013,220688.0255
6978,Suburb,2011,227607.042
6979,Urban,1973,214368.0203
6980,Rural,2016,270949.3197
6981,Urban,2009,137113.1618
6982,Urban,1992,91553.93464
6983,Rural,2020,210213.0003
6984,Suburb,1951,144176.8229
6985,Urban,1982,245619.5049
6986,Urban,1991,244298.3638
6987,Rural,2008,326380.1947
6988,Suburb,2009,246506.5491
6989,Suburb,1988,272909.9226
6990,Urban,1950,25583.27889
6991,Suburb,1982,209721.2506
6992,Urban,1990,346463.7711
6993,Suburb,1954,187244.2524
6994,Urban,2008,191567.4279
6995,Rural,1986,216452.0245
6996,Urban,2009,338563.1011
6997,Rural,1993,164840.113
6998,Suburb,2014,252989.2688
6999,Suburb,1979,159455.883
7000,Rural,1977,195203.4791
7001,Suburb,1958,146221.0642
7002,Rural,1981,233810.9071
7003,Rural,1991,325428.9855
7004,Urban,1983,318526.6056
7005,Urban,2017,257020.8862
7006,Urban,1967,153398.0748
7007,Rural,1989,95231.64589
7008,Urban,2007,156903.2342
7009,Rural,1997,220063.0011
7010,Urban,1965,217769.2367
7011,Urban,2019,323281.3195
7012,Rural,2002,224748.9905
7013,Urban,1952,281624.9081
7014,Rural,2013,173242.3555
7015,Suburb,1994,294253.5344
7016,Rural,2005,230514.2924
7017,Rural,2015,218533.6702
7018,Urban,1956,231062.034
7019,Suburb,1995,258196.9226
7020,Suburb,2010,326354.0106
7021,Rural,1957,212110.7504
7022,Urban,2014,322547.9841
7023,Suburb,2010,118647.9779
7024,Rural,2010,251948.5995
7025,Urban,1954,315815.196
7026,Rural,1980,228564.7082
7027,Suburb,2010,384593.6354
7028,Urban,1997,200893.0821
7029,Suburb,1960,317425.1516
7030,Rural,1960,240876.6736
7031,Suburb,1957,224426.0297
7032,Urban,1955,227479.1585
7033,Suburb,1981,238665.5501
7034,Suburb,2002,156184.4312
7035,Urban,2006,178516.9993
7036,Rural,1978,163917.5175
7037,Urban,2005,274625.3702
7038,Rural,2013,241334.8782
7039,Rural,2013,341512.9704
7040,Suburb,1968,344595.4361
7041,Urban,2017,180076.8323
7042,Rural,2014,149201.2429
7043,Rural,2000,151141.8056
7044,Rural,2002,257311.3162
7045,Suburb,2015,166417.9281
7046,Urban,2021,144421.6861
7047,Suburb,2004,236981.5888
7048,Rural,1999,232522.2268
7049,Rural,1997,246438.5007
7050,Urban,2006,193438.0845
7051,Urban,2007,45671.6502
7052,Urban,1990,283004.9556
7053,Rural,1984,166531.8547
7054,Rural,1978,74634.21386
7055,Rural,2016,313144.0875
7056,Urban,2015,267165.3226
7057,Suburb,1964,270459.9307
7058,Suburb,1970,285683.0111
7059,Rural,2002,121426.7213
7060,Rural,1971,283855.631
7061,Suburb,2003,113040.0872
7062,Suburb,2005,281416.2709
7063,Rural,1980,393599.6213
7064,Urban,1971,140953.4857
7065,Rural,1957,189464.5932
7066,Urban,2009,191715.8207
7067,Suburb,1980,208326.2836
7068,Suburb,1986,290398.106
7069,Suburb,1967,359033.6055
7070,Suburb,1981,124226.3982
7071,Rural,1986,234654.0711
7072,Suburb,1968,131144.0056
7073,Urban,1955,404694.0577
7074,Urban,1954,146015.924
7075,Rural,1975,145306.0404
7076,Suburb,1968,176715.0153
7077,Suburb,1956,98269.27209
7078,Urban,1955,191931.8905
7079,Suburb,2018,258687.8957
7080,Urban,1953,151950.2535
7081,Urban,2011,304957.4694
7082,Rural,1974,201450.146
7083,Rural,2014,176036.5171
7084,Rural,1970,303843.6289
7085,Suburb,1964,176776.26
7086,Suburb,1959,157732.0516
7087,Suburb,1966,335432.1277
7088,Suburb,1950,213797.1507
7089,Rural,1979,134086.0211
7090,Urban,1950,119970.6657
7091,Urban,2005,250131.144
7092,Rural,1955,175817.8514
7093,Urban,1992,232427.876
7094,Rural,2012,249783.0882
7095,Suburb,2004,184558.2135
7096,Rural,2000,275862.2506
7097,Rural,1983,189789.8742
7098,Suburb,2012,353516.1461
7099,Suburb,1954,287063.0188
7100,Suburb,1982,304676.5762
7101,Urban,1991,264816.0097
7102,Rural,2020,207625.6032
7103,Urban,1956,386864.116
7104,Urban,2017,251097.4605
7105,Rural,2021,182849.0753
7106,Urban,1976,359683.0171
7107,Urban,1974,235871.6468
7108,Suburb,1984,334626.8617
7109,Suburb,1983,26423.63208
7110,Suburb,2013,340800.3837
7111,Urban,2007,248201.1788
7112,Urban,1954,214088.5748
7113,Suburb,1963,186435.1771
7114,Rural,1953,298497.6983
7115,Suburb,1991,207667.2506
7116,Rural,1971,272541.3943
7117,Rural,2016,123141.5072
7118,Urban,1970,348881.3941
7119,Suburb,1986,363579.5933
7120,Rural,1956,238645.406
7121,Urban,1956,185167.0245
7122,Urban,1994,258755.4935
7123,Urban,1986,271273.2528
7124,Suburb,2019,97845.95277
7125,Urban,1980,235228.5363
7126,Urban,1994,172975.9858
7127,Rural,2020,373197.7498
7128,Rural,1976,228264.1209
7129,Rural,2015,155825.7087
7130,Rural,1978,185529.8917
7131,Suburb,2010,149516.4451
7132,Urban,1983,255540.5723
7133,Rural,1967,181555.4053
7134,Suburb,1977,311629.1332
7135,Rural,1979,248356.3876
7136,Suburb,1971,179055.6571
7137,Urban,1952,89483.75719
7138,Urban,1985,165310.7898
7139,Rural,1974,159156.856
7140,Urban,1972,253411.08
7141,Urban,2014,276833.3744
7142,Rural,1986,189260.8731
7143,Rural,1970,225503.9968
7144,Suburb,2013,296532.2187
7145,Suburb,1995,93755.26759
7146,Suburb,1996,137446.3359
7147,Urban,1997,206577.7271
7148,Suburb,1986,189480.4183
7149,Urban,1984,213330.9105
7150,Suburb,1965,236174.358
7151,Urban,2017,189091.699
7152,Suburb,1979,165270.2519
7153,Urban,1967,220022.0968
7154,Rural,1955,146855.6441
7155,Urban,1995,312337.2327
7156,Rural,1990,201168.6274
7157,Rural,1997,150779.235
7158,Urban,1964,331741.8646
7159,Urban,1956,159711.546
7160,Rural,1986,123374.9621
7161,Suburb,1975,271681.397
7162,Rural,2014,321254.1438
7163,Suburb,1975,255668.3434
7164,Rural,1999,281724.6397
7165,Rural,1979,139179.2067
7166,Rural,1983,319998.3263
7167,Urban,1995,262096.7656
7168,Urban,2016,236529.1292
7169,Urban,1968,269883.253
7170,Rural,2007,348078.7529
7171,Rural,1980,271564.3596
7172,Urban,1962,138388.5131
7173,Urban,1978,135585.8353
7174,Urban,2002,192822.2954
7175,Urban,1966,294283.5322
7176,Rural,1980,180845.4989
7177,Suburb,2001,258923.315
7178,Urban,1990,291117.0156
7179,Rural,2006,104438.1611
7180,Suburb,1957,244351.0222
7181,Urban,2003,321613.5287
7182,Rural,2005,254847.728
7183,Urban,1976,285827.9976
7184,Rural,2012,106344.7452
7185,Rural,2016,275835.4867
7186,Rural,1975,296726.6743
7187,Suburb,2004,238310.4949
7188,Suburb,1993,234569.1049
7189,Urban,1994,191656.2481
7190,Urban,1991,125763.8752
7191,Urban,1975,292084.1373
7192,Urban,1970,177316.4977
7193,Rural,1974,54360.21636
7194,Rural,2008,254175.2395
7195,Suburb,1988,205614.5792
7196,Rural,2015,179176.1009
7197,Urban,1991,188693.7634
7198,Rural,1971,326655.5685
7199,Suburb,1951,316460.6992
