id,SquareFeet,Bedrooms,Bathrooms
7920,2433,4,3
7921,2902,2,1
7922,1305,3,2
7923,1907,2,2
7924,1606,2,3
7925,2744,2,2
7926,2248,5,3
7927,2994,5,3
7928,2371,2,3
7929,1991,5,3
7930,1320,4,1
7931,1558,3,1
7932,2204,5,2
7933,1617,5,3
7934,1710,2,2
7935,2409,3,3
7936,2641,4,2
7937,2815,4,1
7938,2795,3,2
7939,2131,4,3
7940,1530,3,3
7941,1409,2,2
7942,2994,4,2
7943,2319,4,3
7944,1817,3,2
7945,2194,4,1
7946,2354,5,3
7947,1492,2,3
7948,2218,4,1
7949,1011,4,2
7950,1194,4,1
7951,1489,3,3
7952,1794,2,1
7953,1880,2,2
7954,1181,4,2
7955,1961,4,3
7956,2840,3,3
7957,1655,2,1
7958,2921,5,2
7959,2339,4,1
7960,1693,5,3
7961,1029,5,1
7962,2619,2,2
7963,2701,5,3
7964,2819,4,1
7965,2816,4,1
7966,2119,3,2
7967,2404,2,2
7968,1777,2,1
7969,1443,5,2
7970,1297,4,3
7971,1807,4,1
7972,2760,3,1
7973,1844,5,3
7974,2015,4,2
7975,2384,2,3
7976,2397,3,3
7977,1553,2,1
7978,1302,3,3
7979,1420,2,2
7980,2269,5,1
7981,2743,4,2
7982,2260,2,3
7983,2557,5,3
7984,1184,2,2
7985,1467,5,1
7986,1753,3,3
7987,1362,5,3
7988,2306,2,3
7989,2576,4,1
7990,1335,3,1
7991,1161,3,3
7992,2183,5,1
7993,2497,2,2
7994,2624,5,3
7995,2345,3,2
7996,1011,4,1
7997,2447,5,1
7998,2096,2,2
7999,1587,5,1
8000,2881,5,3
8001,1200,5,2
8002,1521,4,2
8003,2887,2,3
8004,1504,2,1
8005,2761,3,2
8006,2711,3,2
8007,1787,5,3
8008,2062,3,1
8009,1059,2,2
8010,1577,5,1
8011,1320,3,2
8012,2458,4,1
8013,2659,3,2
8014,2699,4,1
8015,2431,3,1
8016,1922,2,2
8017,2409,3,1
8018,2694,4,1
8019,1568,4,3
8020,2101,3,3
8021,2217,5,3
8022,2308,4,3
8023,1526,2,1
8024,1523,3,2
8025,1612,4,2
8026,2179,3,3
8027,2363,3,2
8028,1124,5,2
8029,1870,3,1
8030,1279,3,1
8031,1916,3,2
8032,2929,2,1
8033,1621,3,3
8034,1845,2,3
8035,2892,3,2
8036,2681,5,2
8037,2751,5,3
8038,2933,4,2
8039,1673,3,2
8040,2151,5,1
8041,1313,5,1
8042,1331,3,3
8043,2173,4,3
8044,2477,2,3
8045,1035,5,3
8046,2708,5,3
8047,2443,2,1
8048,2045,5,2
8049,1205,2,3
8050,1638,2,3
8051,1847,4,1
8052,2980,2,1
8053,2379,2,1
8054,1439,2,1
8055,1728,2,2
8056,2119,5,2
8057,2952,2,1
8058,1940,5,1
8059,1163,3,3
8060,1147,3,2
8061,2553,2,3
8062,1293,4,1
8063,1194,4,3
8064,1662,5,1
8065,1479,5,2
8066,2900,3,3
8067,1122,5,3
8068,2423,4,3
8069,1698,3,2
8070,1964,2,2
8071,2475,5,3
8072,1660,2,3
8073,2127,5,3
8074,2778,4,1
8075,2485,5,1
8076,2766,4,1
8077,2741,4,2
8078,1709,2,3
8079,1395,5,1
8080,1911,2,3
8081,2360,4,2
8082,2004,4,1
8083,2622,4,3
8084,2165,4,2
8085,1316,3,2
8086,2734,4,1
8087,2581,5,2
8088,2823,4,2
8089,2550,3,1
8090,2579,5,3
8091,2424,3,2
8092,1680,3,3
8093,2333,5,3
8094,1494,3,3
8095,1555,4,1
8096,1609,2,2
8097,2796,2,1
8098,1108,2,3
8099,2818,5,2
8100,1371,5,3
8101,1854,5,3
8102,1615,2,1
8103,1767,2,1
8104,2914,5,2
8105,1205,2,2
8106,1846,3,3
8107,1042,3,3
8108,1864,2,3
8109,2268,5,1
8110,2310,4,2
8111,2378,4,1
8112,1784,2,1
8113,1475,4,3
8114,1082,5,3
8115,2133,3,3
8116,2973,3,1
8117,1189,5,3
8118,1799,4,1
8119,1935,2,1
8120,2932,3,1
8121,1250,4,2
8122,2747,4,1
8123,1290,3,3
8124,2668,3,3
8125,2224,2,2
8126,2820,5,3
8127,1325,4,3
8128,2534,2,3
8129,2432,3,2
8130,2630,5,1
8131,2813,5,2
8132,2985,4,2
8133,2964,5,3
8134,1836,3,3
8135,1507,3,2
8136,1730,3,1
8137,2624,2,2
8138,1071,3,1
8139,2270,2,3
8140,1640,3,2
8141,2747,3,1
8142,1939,5,2
8143,2878,4,2
8144,1607,3,3
8145,2610,5,1
8146,2958,5,1
8147,1565,4,1
8148,2367,5,1
8149,2994,5,1
8150,2948,4,3
8151,1053,2,2
8152,2753,4,3
8153,1527,4,2
8154,1610,3,1
8155,2555,3,3
8156,2581,2,2
8157,2986,4,2
8158,1192,4,2
8159,2918,2,1
8160,1057,3,3
8161,2460,4,2
8162,2134,2,1
8163,1128,3,3
8164,2872,5,2
8165,1705,2,1
8166,2948,2,2
8167,1851,4,1
8168,2349,5,3
8169,1007,3,2
8170,1028,5,1
8171,2135,4,1
8172,1946,4,1
8173,2696,3,3
8174,1130,3,1
8175,1187,3,2
8176,2698,4,3
8177,1708,3,2
8178,2498,3,1
8179,2387,3,1
8180,2227,2,2
8181,1211,3,2
8182,2644,4,3
8183,1275,2,1
8184,2096,4,3
8185,2702,5,1
8186,2795,2,2
8187,1242,3,3
8188,2810,2,1
8189,2125,4,2
8190,1986,2,3
8191,1684,5,3
8192,1170,3,3
8193,1652,3,2
8194,2932,5,3
8195,1187,4,1
8196,2464,2,2
8197,2109,4,3
8198,2499,4,2
8199,1051,4,1
8200,1110,3,3
8201,2972,2,2
8202,1876,3,2
8203,2877,3,1
8204,2066,3,1
8205,1210,2,2
8206,2991,5,3
8207,2223,3,3
8208,2833,3,2
8209,1857,3,1
8210,2775,2,3
8211,1626,2,3
8212,2049,4,1
8213,2942,3,1
8214,1298,3,1
8215,2100,2,2
8216,1923,2,2
8217,1136,3,2
8218,2043,5,1
8219,1439,4,2
8220,1210,4,1
8221,1751,3,2
8222,2574,4,2
8223,1434,4,3
8224,1779,3,1
8225,2230,4,3
8226,1438,2,1
8227,2997,3,2
8228,2802,2,2
8229,1665,3,2
8230,2065,2,1
8231,1410,4,1
8232,2546,5,2
8233,1805,2,3
8234,1609,2,2
8235,1426,5,2
8236,2298,5,2
8237,2471,2,2
8238,1901,2,3
8239,1941,2,3
8240,2907,3,3
8241,1741,2,1
8242,2392,2,2
8243,2961,5,1
8244,2243,5,2
8245,2600,3,3
8246,2890,3,2
8247,2255,4,3
8248,1327,2,2
8249,2466,2,2
8250,1051,5,3
8251,2909,4,2
8252,2966,2,3
8253,1375,4,3
8254,1262,3,2
8255,1266,2,3
8256,1358,2,1
8257,2340,3,1
8258,2347,2,2
8259,2944,3,3
8260,2931,3,1
8261,2689,4,1
8262,2893,5,3
8263,2901,5,1
8264,1651,3,1
8265,2962,4,2
8266,2586,3,2
8267,2652,4,3
8268,2444,4,3
8269,1045,5,1
8270,2844,5,2
8271,1599,4,3
8272,1719,5,1
8273,2912,4,2
8274,2292,2,3
8275,1600,3,2
8276,1380,5,1
8277,1117,3,1
8278,2589,5,1
8279,2976,3,2
8280,1115,3,3
8281,2653,5,3
8282,1259,5,1
8283,2098,5,1
8284,2503,5,1
8285,1304,4,1
8286,1006,5,2
8287,1365,5,1
8288,2657,5,1
8289,1522,2,3
8290,2371,3,2
8291,2461,5,1
8292,2238,5,2
8293,1428,3,1
8294,1790,3,2
8295,2521,4,1
8296,2563,3,1
8297,1746,3,2
8298,1366,2,1
8299,1312,4,1
8300,1537,2,2
8301,1920,3,3
8302,2077,5,3
8303,2564,4,1
8304,2490,3,2
8305,1864,3,3
8306,2187,5,2
8307,1781,5,3
8308,1333,5,1
8309,2570,4,2
8310,1797,2,1
8311,1347,4,1
8312,1272,5,1
8313,1962,4,2
8314,1719,5,3
8315,2773,2,1
8316,2437,4,2
8317,1499,2,3
8318,2116,2,1
8319,1684,5,3
8320,1078,4,3
8321,1621,4,2
8322,2240,2,2
8323,1946,5,2
8324,1357,2,3
8325,1617,2,3
8326,1506,2,2
8327,2582,2,3
8328,2204,4,3
8329,1575,3,3
8330,2269,4,2
8331,1243,5,1
8332,1505,3,1
8333,1421,2,2
8334,2343,4,3
8335,2110,3,2
8336,1216,2,1
8337,2513,4,2
8338,2542,3,1
8339,2301,4,1
8340,2872,3,2
8341,2745,5,2
8342,2008,4,1
8343,2192,4,3
8344,1329,3,3
8345,1649,5,1
8346,2464,4,3
8347,1390,5,1
8348,2519,5,1
8349,1380,4,1
8350,2329,2,2
8351,1741,3,2
8352,1819,4,2
8353,1672,5,1
8354,1512,3,2
8355,2771,4,3
8356,1948,3,3
8357,2211,3,2
8358,1929,5,2
8359,2539,2,1
8360,1912,2,2
8361,1643,3,2
8362,1426,5,2
8363,1501,5,1
8364,1729,4,3
8365,2283,3,1
8366,2536,4,2
8367,1070,5,2
8368,1477,3,3
8369,2201,2,2
8370,1456,2,1
8371,1188,4,1
8372,1290,3,1
8373,2543,5,1
8374,2788,4,2
8375,1919,2,1
8376,1291,5,2
8377,2969,3,1
8378,1755,2,3
8379,2658,5,3
8380,2834,2,1
8381,2306,3,3
8382,2567,4,3
8383,2869,5,3
8384,1376,5,3
8385,2681,3,2
8386,2179,2,1
8387,1507,2,3
8388,2436,2,2
8389,1527,5,3
8390,2378,5,2
8391,1558,2,1
8392,2786,5,2
8393,2210,4,1
8394,2054,3,2
8395,1259,3,2
8396,1420,5,3
8397,2552,4,3
8398,2574,4,2
8399,1303,2,2
8400,1941,3,2
8401,2967,3,1
8402,2062,3,2
8403,2512,5,1
8404,2667,4,1
8405,1541,2,1
8406,2693,5,1
8407,2301,2,1
8408,2226,5,1
8409,2089,3,1
8410,1107,2,2
8411,1267,4,1
8412,1221,4,2
8413,2827,5,2
8414,2553,3,1
8415,2113,5,2
8416,1692,2,2
8417,1254,4,1
8418,2478,4,2
8419,1252,4,2
8420,1256,4,3
8421,1382,2,3
8422,1441,4,1
8423,2881,5,1
8424,1598,4,1
8425,2113,2,1
8426,2772,3,1
8427,1389,3,3
8428,1581,4,3
8429,2067,3,2
8430,2735,2,3
8431,2687,4,1
8432,1597,2,3
8433,1018,3,2
8434,2124,3,1
8435,2937,4,1
8436,1606,3,2
8437,2789,4,3
8438,2380,4,2
8439,2565,5,1
8440,2784,5,1
8441,2961,5,3
8442,1032,2,2
8443,2993,3,3
8444,2252,3,1
8445,2547,5,2
8446,2653,4,2
8447,1861,4,3
8448,1154,4,1
8449,2446,4,2
8450,1904,2,3
8451,2269,3,1
8452,1404,5,1
8453,1843,2,1
8454,2782,3,3
8455,2564,2,1
8456,2184,4,3
8457,1746,2,1
8458,2725,2,3
8459,2140,4,3
8460,1270,4,2
8461,1769,5,3
8462,2715,5,2
8463,2510,3,1
8464,2908,5,1
8465,1171,5,3
8466,2973,3,1
8467,1273,2,1
8468,1258,2,3
8469,2158,2,1
8470,2706,4,1
8471,2745,3,1
8472,2771,2,2
8473,1421,5,1
8474,2444,5,3
8475,2209,5,3
8476,2952,3,1
8477,1363,3,3
8478,2978,5,3
8479,2630,4,3
8480,1377,4,3
8481,2546,2,1
8482,1579,2,3
8483,1890,2,2
8484,1721,2,2
8485,2219,2,2
8486,1880,3,1
8487,2121,3,3
8488,1604,4,1
8489,1021,4,3
8490,2473,3,3
8491,2195,4,3
8492,1382,5,3
8493,1133,4,3
8494,2449,5,1
8495,2048,5,1
8496,1502,2,2
8497,2208,4,1
8498,2108,5,2
8499,2590,4,2
8500,2786,4,3
8501,1143,3,1
8502,2886,3,1
8503,2933,2,3
8504,2702,4,3
8505,2435,3,2
8506,1223,5,1
8507,1219,5,1
8508,1178,2,2
8509,2654,5,2
8510,1432,4,2
8511,1264,5,3
8512,1953,2,2
8513,1428,2,2
8514,2685,5,3
8515,1415,4,2
8516,2476,3,2
8517,1726,4,1
8518,1196,4,2
8519,2577,4,2
8520,2076,5,3
8521,1479,3,2
8522,2466,4,1
8523,2353,3,1
8524,2274,2,3
8525,2830,3,1
8526,1889,5,3
8527,2806,2,1
8528,2990,2,1
8529,1924,4,2
8530,1122,3,3
8531,2902,2,2
8532,2410,2,3
8533,2362,3,2
8534,1777,3,1
8535,1347,2,2
8536,1028,2,1
8537,1974,3,3
8538,1034,5,3
8539,2541,3,1
8540,2419,5,2
8541,1622,2,1
8542,2317,4,2
8543,1588,3,1
8544,2372,2,1
8545,2170,2,3
8546,2090,4,2
8547,1903,3,2
8548,1519,2,1
8549,1121,5,2
8550,1339,4,1
8551,1174,5,1
8552,2923,3,2
8553,2714,5,2
8554,1596,4,1
8555,1450,2,2
8556,1556,4,2
8557,2159,2,2
8558,2878,2,2
8559,2039,5,3
8560,2356,4,3
8561,2218,4,1
8562,2519,2,1
8563,1008,4,3
8564,2851,3,1
8565,1333,3,3
8566,2356,5,1
8567,2016,5,2
8568,1326,4,2
8569,1014,5,3
8570,1838,4,3
8571,2637,5,3
8572,1225,3,3
8573,2448,2,2
8574,2813,2,2
8575,2431,3,3
8576,1112,2,3
8577,2451,4,1
8578,1000,4,2
8579,1265,3,2
8580,2514,3,3
8581,2231,3,1
8582,2645,3,2
8583,2735,2,1
8584,1951,2,1
8585,2392,2,2
8586,1305,4,2
8587,1011,5,1
8588,2368,4,1
8589,2488,5,2
8590,2723,3,3
8591,2689,3,1
8592,2517,2,2
8593,2391,2,1
8594,2869,5,2
8595,1936,5,1
8596,1419,2,1
8597,1888,3,3
8598,2814,2,1
8599,1170,3,1
8600,1133,3,1
8601,1964,4,2
8602,2450,4,2
8603,2048,5,2
8604,2553,3,2
8605,2213,2,1
8606,2164,3,3
8607,2578,5,1
8608,2869,3,1
8609,2819,3,3
8610,1657,5,3
8611,2338,3,3
8612,2467,4,3
8613,2342,5,3
8614,2464,4,3
8615,2115,5,2
8616,1178,3,3
8617,2079,4,3
8618,2178,4,3
8619,2695,2,3
8620,1110,4,3
8621,1136,4,2
8622,1231,3,2
8623,1991,4,2
8624,1467,4,1
8625,1731,4,3
8626,1480,3,2
8627,2091,5,3
8628,1813,3,3
8629,2272,4,2
8630,1993,5,2
8631,1322,3,3
8632,1921,3,3
8633,1903,5,1
8634,2541,2,2
8635,2999,4,3
8636,2815,2,1
8637,2455,4,3
8638,2510,4,2
8639,1605,2,3
8640,1428,2,2
8641,2292,4,1
8642,2732,5,3
8643,2560,5,2
8644,1147,2,1
8645,2141,2,1
8646,1849,3,2
8647,1366,5,3
8648,1849,5,2
8649,2089,4,1
8650,2993,3,2
8651,1812,4,1
8652,2393,3,1
8653,1174,5,1
8654,2854,4,1
8655,1587,3,3
8656,1494,4,1
8657,1972,3,1
8658,2137,2,1
8659,2134,4,2
8660,2784,2,3
8661,2462,3,1
8662,2738,4,2
8663,2170,3,1
8664,1034,3,3
8665,1998,2,3
8666,2332,4,3
8667,1537,5,3
8668,1749,3,2
8669,2037,2,3
8670,1373,5,2
8671,1556,2,2
8672,2451,2,3
8673,2751,2,2
8674,1232,3,2
8675,1704,5,3
8676,1562,3,1
8677,1938,3,1
8678,1886,4,2
8679,1725,5,3
8680,2686,4,3
8681,2463,2,3
8682,2525,5,1
8683,2298,5,2
8684,2873,3,3
8685,1075,2,2
8686,1438,3,3
8687,2755,4,3
8688,2883,2,3
8689,2979,3,2
8690,1698,3,1
8691,2312,3,1
8692,1914,2,2
8693,2563,4,3
8694,1890,5,1
8695,1691,3,1
8696,1252,2,2
8697,2149,5,2
8698,2200,3,2
8699,2060,2,3
8700,1409,4,3
8701,2634,3,2
8702,2633,2,2
8703,1126,3,1
8704,2506,2,1
8705,2191,4,2
8706,1591,4,2
8707,1293,2,2
8708,2868,5,1
8709,2661,4,1
8710,2366,3,3
8711,2019,4,1
8712,1309,3,1
8713,1661,4,2
8714,1527,4,2
8715,1539,3,3
8716,1418,4,2
8717,1443,3,2
8718,1684,3,1
8719,2581,4,2
8720,1839,4,1
8721,1235,3,1
8722,2462,2,2
8723,1213,4,2
8724,1084,5,1
8725,1793,4,3
8726,2767,2,2
8727,1084,2,1
8728,2944,4,1
8729,2512,4,2
8730,1064,5,1
8731,2669,4,2
8732,1662,2,3
8733,1626,5,3
8734,1063,4,1
8735,2366,5,2
8736,1938,5,2
8737,2898,2,3
8738,1918,2,3
8739,2375,3,2
8740,2181,2,1
8741,2612,3,2
8742,1490,2,1
8743,2681,2,1
8744,2878,3,2
8745,2486,3,2
8746,2248,3,3
8747,2940,5,3
8748,1312,3,3
8749,1614,5,1
8750,1918,5,3
8751,2882,3,2
8752,1812,3,1
8753,1939,3,3
8754,2489,2,2
8755,2111,2,2
8756,2906,3,3
8757,2326,4,2
8758,1679,3,2
8759,1434,4,2
8760,1681,2,3
8761,2158,2,2
8762,2073,4,1
8763,2455,2,2
8764,1339,3,2
8765,1346,4,3
8766,1645,4,2
8767,2370,5,3
8768,1648,2,3
8769,1244,4,3
8770,1108,4,3
8771,2848,4,2
8772,2822,2,2
8773,1532,4,3
8774,2113,4,3
8775,1295,3,3
8776,1111,3,3
8777,2836,5,2
8778,2612,4,1
8779,2200,2,2
8780,1342,5,3
8781,2683,5,3
8782,1100,5,3
8783,2781,4,3
8784,1628,5,1
8785,2627,2,3
8786,2424,3,1
8787,1027,3,2
8788,1936,4,1
8789,2985,2,2
8790,2560,2,1
8791,1057,2,3
8792,2521,4,1
8793,1296,2,3
8794,1133,3,1
8795,2354,2,2
8796,1248,2,1
8797,2020,4,1
8798,1549,5,2
8799,1901,5,1
8800,2964,4,2
8801,2098,4,1
8802,2677,4,2
8803,1833,4,2
8804,2191,2,3
8805,1770,2,2
8806,2526,5,2
8807,2908,4,3
8808,2378,4,3
8809,2248,2,2
8810,2687,4,3
8811,2554,3,2
8812,1145,2,2
8813,2983,3,1
8814,2264,2,2
8815,2907,2,3
8816,1892,2,1
8817,1343,5,1
8818,2772,5,3
8819,2058,2,3
8820,1701,2,1
8821,1000,2,3
8822,1152,2,3
8823,1428,4,2
8824,2968,4,3
8825,1507,4,2
8826,2149,5,3
8827,1490,3,3
8828,2505,2,3
8829,1344,4,3
8830,2935,4,1
8831,2761,4,1
8832,1220,2,3
8833,2938,2,1
8834,2942,3,3
8835,1722,5,3
8836,2048,3,2
8837,1527,2,2
8838,2205,3,3
8839,2522,4,1
8840,1840,3,1
8841,2664,4,3
8842,2065,3,1
8843,2938,4,3
8844,1480,3,2
8845,1929,5,1
8846,2871,3,1
8847,2771,2,2
8848,1871,2,3
8849,2462,4,1
8850,2425,2,2
8851,2569,4,1
8852,1344,5,2
8853,2916,2,1
8854,1044,2,3
8855,2669,4,1
8856,1020,5,2
8857,2657,5,3
8858,2093,3,1
8859,2887,4,2
8860,1872,4,2
8861,1047,5,3
8862,2514,4,1
8863,1550,2,3
8864,1286,2,2
8865,2001,2,2
8866,2033,4,1
8867,1541,3,2
8868,1755,3,3
8869,1273,5,2
8870,1955,4,1
8871,1599,5,1
8872,2779,4,2
8873,1380,3,3
8874,2352,2,1
8875,1478,4,2
8876,1014,3,2
8877,1515,3,2
8878,1190,3,3
8879,2191,2,3
8880,2544,3,3
8881,1620,5,1
8882,2160,3,2
8883,1153,3,3
8884,2411,4,1
8885,2232,4,1
8886,1271,4,1
8887,1142,3,1
8888,2634,3,3
8889,2912,5,1
8890,2843,2,3
8891,2092,3,3
8892,1246,2,3
8893,2284,3,2
8894,1787,2,3
8895,1078,4,1
8896,2681,3,2
8897,1622,5,2
8898,2793,2,2
8899,2628,4,3
8900,1524,5,3
8901,1771,4,2
8902,1937,3,1
8903,2644,5,2
8904,2353,2,3
8905,2212,2,3
8906,2118,5,1
8907,1616,2,1
8908,2031,4,2
8909,1066,5,3
8910,2519,2,2
8911,1190,4,1
8912,2389,2,2
8913,1767,4,2
8914,1520,3,3
8915,1989,4,3
8916,2140,2,3
8917,1266,4,2
8918,2634,2,3
8919,1484,5,3
8920,2532,5,1
8921,2321,3,3
8922,2932,4,1
8923,2187,3,2
8924,1375,5,2
8925,1652,4,3
8926,2291,4,1
8927,1548,3,3
8928,2097,3,1
8929,2531,4,3
8930,1072,4,1
8931,1307,4,1
8932,1198,3,2
8933,2153,2,1
8934,2781,5,2
8935,2847,5,3
8936,1571,3,3
8937,1790,4,1
8938,2638,5,2
8939,2831,5,2
8940,2855,5,3
8941,2510,5,2
8942,2876,4,2
8943,2174,3,3
8944,2692,4,2
8945,2229,4,3
8946,1178,5,2
8947,1196,5,1
8948,1734,4,3
8949,1088,4,3
8950,1798,4,3
8951,2457,2,1
8952,1787,5,3
8953,1747,3,1
8954,2206,3,2
8955,1208,3,1
8956,1492,2,3
8957,2153,2,1
8958,1664,3,1
8959,2036,3,1
8960,2657,3,1
8961,1870,4,2
8962,1731,5,2
8963,2129,2,2
8964,2398,2,3
8965,2605,4,1
8966,2730,2,2
8967,1697,3,3
8968,2122,2,3
8969,1593,4,1
8970,2610,5,1
8971,1885,3,1
8972,1851,2,1
8973,2215,3,1
8974,1324,5,1
8975,1978,2,2
8976,2749,3,2
8977,2850,4,1
8978,1955,4,3
8979,2490,5,2
8980,1893,5,1
8981,2390,5,2
8982,2341,2,3
8983,1143,5,3
8984,1383,2,2
8985,1215,3,1
8986,2384,4,1
8987,1323,3,1
8988,2038,4,3
8989,1216,5,3
8990,2515,3,3
8991,1950,3,3
8992,2570,5,2
8993,1182,3,1
8994,1269,2,1
8995,1944,4,2
8996,2490,5,2
8997,1869,2,1
8998,2635,2,1
8999,2542,5,2
9000,2565,3,2
9001,1466,4,3
9002,1304,2,2
9003,2167,3,2
9004,1110,5,3
9005,2013,5,1
9006,1231,4,3
9007,2714,5,2
9008,2607,4,2
9009,2745,5,1
9010,2755,5,1
9011,2615,2,3
9012,2523,3,1
9013,1594,2,2
9014,2577,4,1
9015,2296,2,2
9016,2726,5,1
9017,1172,5,3
9018,1972,3,1
9019,2030,4,2
9020,2178,5,3
9021,2545,3,3
9022,1545,3,1
9023,1547,5,1
9024,2944,5,3
9025,1517,4,3
9026,2943,3,2
9027,1913,3,3
9028,1214,3,3
9029,1133,4,3
9030,1284,3,3
9031,2149,2,2
9032,2944,2,3
9033,2462,3,2
9034,2872,2,3
9035,1685,2,2
9036,2175,4,2
9037,1330,3,1
9038,2561,4,2
9039,2406,3,2
9040,2138,5,2
9041,1893,2,1
9042,2505,4,2
9043,2307,4,1
9044,1898,5,2
9045,2098,5,2
9046,2189,2,2
9047,2212,2,2
9048,1077,3,3
9049,1946,3,3
9050,2625,5,3
9051,1687,2,2
9052,1020,2,3
9053,1565,5,1
9054,2207,5,2
9055,2894,4,3
9056,2245,5,1
9057,1826,4,1
9058,2351,3,2
9059,1178,5,2
9060,2811,5,1
9061,2135,5,1
9062,2759,4,2
9063,2749,5,1
9064,2082,5,3
9065,2350,2,3
9066,1904,2,1
9067,2644,2,1
9068,2920,5,2
9069,1668,2,3
9070,1190,3,3
9071,2223,2,3
9072,2335,5,3
9073,1707,2,3
9074,2058,2,3
9075,1378,2,2
9076,1386,3,1
9077,2781,3,3
9078,1236,4,2
9079,1615,5,2
9080,2542,3,1
9081,1282,3,1
9082,1000,3,1
9083,2754,5,1
9084,1463,4,1
9085,2253,5,2
9086,1966,2,1
9087,1171,4,2
9088,2110,2,3
9089,2576,3,3
9090,2146,5,1
9091,1842,2,3
9092,2321,4,2
9093,2908,2,3
9094,2952,2,3
9095,1689,3,3
9096,1574,2,3
9097,2507,2,2
9098,1164,3,3
9099,2722,4,1
9100,1382,3,2
9101,1208,2,1
9102,2762,5,2
9103,2455,3,3
9104,2412,3,2
9105,2583,2,1
9106,1223,5,1
9107,1002,4,2
9108,1371,5,1
9109,2710,3,1
9110,2469,5,2
9111,1610,4,3
9112,1115,5,3
9113,2293,5,3
9114,1446,5,1
9115,2391,3,1
9116,2276,2,3
9117,2340,2,2
9118,1414,5,3
9119,2118,3,2
9120,2808,3,1
9121,1891,3,1
9122,2047,2,3
9123,2651,3,2
9124,1662,5,2
9125,2873,2,3
9126,2073,3,2
9127,2525,5,1
9128,1717,2,2
9129,2521,3,1
9130,2358,4,3
9131,2102,5,2
9132,2605,4,3
9133,2050,2,3
9134,1270,3,2
9135,1561,5,2
9136,1803,5,2
9137,1246,5,1
9138,2799,4,3
9139,2614,3,1
9140,1386,3,3
9141,1701,3,3
9142,1558,4,1
9143,1972,2,3
9144,2384,4,1
9145,2889,2,2
9146,1983,4,3
9147,2511,3,1
9148,1351,3,2
9149,2724,3,3
9150,2951,4,3
9151,2279,5,3
9152,2245,4,3
9153,2907,2,2
9154,1752,4,3
9155,1780,2,3
9156,2024,4,2
9157,1545,5,2
9158,2469,5,3
9159,1078,3,2
9160,2259,5,2
9161,1333,4,1
9162,1888,5,2
9163,2372,3,1
9164,2121,4,1
9165,2105,2,1
9166,1501,4,1
9167,2990,3,1
9168,2500,5,2
9169,2950,5,2
9170,2727,4,2
9171,1764,2,3
9172,1920,2,2
9173,1549,2,1
9174,1013,2,3
9175,1391,4,3
9176,2370,5,2
9177,1309,2,3
9178,1385,4,2
9179,2232,4,2
9180,2380,4,1
9181,1973,2,3
9182,2624,2,3
9183,2591,4,3
9184,2117,4,2
9185,2116,4,3
9186,1339,5,1
9187,1596,5,3
9188,2468,3,3
9189,1756,3,1
9190,2045,2,2
9191,1290,5,2
9192,2508,3,3
9193,2807,4,1
9194,1305,4,1
9195,1633,2,1
9196,2151,2,2
9197,1624,3,2
9198,1938,4,2
9199,2296,2,1
9200,1847,2,2
9201,1441,5,3
9202,1502,3,2
9203,1129,2,3
9204,2155,3,2
9205,1596,4,3
9206,2958,3,1
9207,2505,2,2
9208,1861,5,3
9209,2413,3,1
9210,1592,3,3
9211,1998,4,2
9212,1324,5,2
9213,2092,3,2
9214,2683,5,1
9215,1447,2,2
9216,2551,5,1
9217,1818,2,1
9218,2640,4,2
9219,2188,4,2
9220,2511,4,2
9221,2736,2,2
9222,1708,3,3
9223,2449,2,3
9224,2720,5,3
9225,2857,5,1
9226,1264,2,1
9227,2898,4,3
9228,1611,4,2
9229,2365,5,1
9230,1831,5,1
9231,2749,3,1
9232,2301,3,1
9233,1673,3,3
9234,2462,5,3
9235,1156,3,1
9236,2445,5,2
9237,1250,5,3
9238,1877,2,1
9239,2632,3,3
9240,1529,2,1
9241,1326,2,2
9242,1960,3,1
9243,1894,5,1
9244,1096,5,1
9245,1512,5,2
9246,1215,3,1
9247,2155,5,1
9248,2283,2,3
9249,1124,4,1
9250,2105,3,3
9251,2306,4,1
9252,2706,2,2
9253,1058,4,2
9254,2567,2,2
9255,1160,4,1
9256,1283,4,2
9257,1105,5,2
9258,2128,4,1
9259,2462,2,3
9260,1227,2,1
9261,2723,2,1
9262,2605,3,3
9263,1317,2,2
9264,2487,3,1
9265,1801,2,3
9266,2622,3,3
9267,2905,4,2
9268,1873,4,1
9269,1471,2,3
9270,2079,3,1
9271,1624,5,1
9272,1012,5,2
9273,2463,5,1
9274,2041,4,2
9275,1693,4,3
9276,1972,3,2
9277,1112,2,2
9278,1228,4,3
9279,1170,2,2
9280,1294,5,2
9281,1188,5,3
9282,1425,2,2
9283,1976,3,1
9284,2102,5,2
9285,1657,3,2
9286,1918,5,1
9287,2205,4,2
9288,1498,5,3
9289,2821,3,3
9290,1761,4,1
9291,1865,5,3
9292,1825,4,2
9293,2731,4,3
9294,2858,5,2
9295,1070,2,2
9296,1247,2,2
9297,1145,3,2
9298,2641,3,2
9299,2798,5,3
9300,2319,4,2
9301,1581,4,1
9302,1469,2,1
9303,2529,2,1
9304,1192,4,3
9305,2091,4,1
9306,1493,3,2
9307,2840,4,3
9308,1051,4,3
9309,1881,5,2
9310,1362,4,1
9311,2820,2,2
9312,1916,2,1
9313,1473,3,1
9314,2869,3,1
9315,1520,5,1
9316,2786,3,1
